county,state,fips,cases,deaths
Autauga,Alabama,1001,2059,31
Baldwin,Alabama,1003,6658,69
Barbour,Alabama,1005,1033,9
Bibb,Alabama,1007,840,14
Blount,Alabama,1009,1932,25
Bullock,Alabama,1011,649,17
Butler,Alabama,1013,1011,40
Calhoun,Alabama,1015,4599,61
Chambers,Alabama,1017,1350,44
Cherokee,Alabama,1019,738,14
Chilton,Alabama,1021,1884,32
Choctaw,Alabama,1023,392,12
Clarke,Alabama,1025,1352,17
Clay,Alabama,1027,744,12
Cleburne,Alabama,1029,569,8
Coffee,Alabama,1031,1771,11
Colbert,Alabama,1033,2021,32
Conecuh,Alabama,1035,561,13
Coosa,Alabama,1037,204,3
Covington,Alabama,1039,1747,29
Crenshaw,Alabama,1041,608,30
Cullman,Alabama,1043,2480,24
Dale,Alabama,1045,1763,51
Dallas,Alabama,1047,1866,27
DeKalb,Alabama,1049,3426,29
Elmore,Alabama,1051,3208,53
Escambia,Alabama,1053,1727,30
Etowah,Alabama,1055,4285,51
Fayette,Alabama,1057,577,13
Franklin,Alabama,1059,2055,31
Geneva,Alabama,1061,906,7
Greene,Alabama,1063,342,16
Hale,Alabama,1065,768,30
Henry,Alabama,1067,717,6
Houston,Alabama,1069,4170,34
Jackson,Alabama,1071,2159,15
Jefferson,Alabama,1073,23292,377
Lamar,Alabama,1075,496,5
Lauderdale,Alabama,1077,2294,42
Lawrence,Alabama,1079,858,32
Lee,Alabama,1081,6546,65
Limestone,Alabama,1083,2872,30
Lowndes,Alabama,1085,713,28
Macon,Alabama,1087,536,20
Madison,Alabama,1089,9350,96
Marengo,Alabama,1091,1019,22
Marion,Alabama,1093,1081,29
Marshall,Alabama,1095,4395,50
Mobile,Alabama,1097,16916,315
Monroe,Alabama,1099,646,10
Montgomery,Alabama,1101,10250,197
Morgan,Alabama,1103,4164,35
Perry,Alabama,1105,592,6
Pickens,Alabama,1107,852,18
Pike,Alabama,1109,1341,13
Randolph,Alabama,1111,827,16
Russell,Alabama,1113,1949,3
St. Clair,Alabama,1115,2955,42
Shelby,Alabama,1117,7390,63
Sumter,Alabama,1119,472,21
Talladega,Alabama,1121,2664,35
Tallapoosa,Alabama,1123,1329,87
Tuscaloosa,Alabama,1125,10345,140
Walker,Alabama,1127,2794,92
Washington,Alabama,1129,749,12
Wilcox,Alabama,1131,568,12
Winston,Alabama,1133,929,13
Aleutians East Borough,Alaska,2013,15,0
Aleutians West Census Area,Alaska,2016,97,0
Anchorage,Alaska,2020,7254,42
Bethel Census Area,Alaska,2050,387,1
Bristol Bay Borough,Alaska,2060,76,0
Denali Borough,Alaska,2068,26,0
Dillingham Census Area,Alaska,2070,48,0
Fairbanks North Star Borough,Alaska,2090,2021,13
Haines Borough,Alaska,2100,12,0
Juneau City and Borough,Alaska,2110,509,2
Kenai Peninsula Borough,Alaska,2122,868,1
Ketchikan Gateway Borough,Alaska,2130,79,0
Kodiak Island Borough,Alaska,2150,96,0
Lake and Peninsula Borough,Alaska,2164,5,0
Matanuska-Susitna Borough,Alaska,2170,1075,2
Nome Census Area,Alaska,2180,129,0
North Slope Borough,Alaska,2185,245,0
Northwest Arctic Borough,Alaska,2188,234,0
Petersburg Borough,Alaska,2195,14,0
Prince of Wales-Hyder Census Area,Alaska,2198,34,0
Sitka City and Borough,Alaska,2220,74,0
